"Hong Kong, SAR China",hong-kong-sar-china
Senegal,senegal
Turkmenistan,turkmenistan
Guam,guam
Saint-Martin (French part),saint-martin-french-part
Djibouti,djibouti
Latvia,latvia
Monaco,monaco
Saint Helena,saint-helena
Togo,togo
Algeria,algeria
Guinea,guinea
Panama,panama
"Virgin Islands, US",virgin-islands
Greenland,greenland
Kiribati,kiribati
Tajikistan,tajikistan
Argentina,argentina
Cuba,cuba
Fiji,fiji
Paraguay,paraguay
San Marino,san-marino
Lebanon,lebanon
Cambodia,cambodia
Cayman Islands,cayman-islands
Congo (Brazzaville),congo-brazzaville
Egypt,egypt
Pitcairn,pitcairn
Botswana,botswana
British Virgin Islands,british-virgin-islands
Myanmar,myanmar
Serbia,serbia
Tokelau,tokelau
Venezuela (Bolivarian Republic),venezuela
Kazakhstan,kazakhstan
Lao PDR,lao-pdr
Namibia,namibia
Samoa,samoa
Syrian Arab Republic (Syria),syria
Belize,belize
Grenada,grenada
Saint-Barthélemy,saint-barthélemy
Solomon Islands,solomon-islands
ALA Aland Islands,ala-aland-islands
Burundi,burundi
India,india
Israel,israel
Ukraine,ukraine
American Samoa,american-samoa
Aruba,aruba
Heard and Mcdonald Islands,heard-and-mcdonald-islands
Italy,italy
China,china
Zambia,zambia
Angola,angola
Sao Tome and Principe,sao-tome-and-principe
Slovakia,slovakia
South Georgia and the South Sandwich Islands,south-georgia-and-the-south-sandwich-islands
Sweden,sweden
Mayotte,mayotte
Portugal,portugal
Qatar,qatar
Switzerland,switzerland
Timor-Leste,timor-leste
Turkey,turkey
Cameroon,cameroon
Greece,greece
Nepal,nepal
Bolivia,bolivia
Madagascar,madagascar
Montenegro,montenegro
Saudi Arabia,saudi-arabia
Yemen,yemen
Denmark,denmark
Uzbekistan,uzbekistan
Brunei Darussalam,brunei
Colombia,colombia
French Polynesia,french-polynesia
Korea (South),korea-south
Montserrat,montserrat
Norfolk Island,norfolk-island
Tuvalu,tuvalu
Canada,canada
Indonesia,indonesia
Mauritius,mauritius
Palau,palau
Chile,chile
Wallis and Futuna Islands,wallis-and-futuna-islands
Burkina Faso,burkina-faso
Cape Verde,cape-verde
Cyprus,cyprus
Niger,niger
Slovenia,slovenia
Suriname,suriname
Bangladesh,bangladesh
Bouvet Island,bouvet-island
Cook Islands,cook-islands
Holy See (Vatican City State),holy-see-vatican-city-state
Kuwait,kuwait
Russian Federation,russia
"Taiwan, Republic of China",taiwan
Malawi,malawi
Morocco,morocco
New Caledonia,new-caledonia
Afghanistan,afghanistan
Anguilla,anguilla
Guadeloupe,guadeloupe
Luxembourg,luxembourg
Mauritania,mauritania
Northern Mariana Islands,northern-mariana-islands
Andorra,andorra
French Southern Territories,french-southern-territories
Honduras,honduras
Mali,mali
Marshall Islands,marshall-islands
Rwanda,rwanda
Saint Lucia,saint-lucia
Kyrgyzstan,kyrgyzstan
Armenia,armenia
Côte d'Ivoire,cote-divoire
El Salvador,el-salvador
Iraq,iraq
Jersey,jersey
Costa Rica,costa-rica
Liechtenstein,liechtenstein
Philippines,philippines
